  In (9,0), the ground is expected to be white, but it is blue.
  In (9,1), the ground is expected to be red, but it is white.
  In (9,2), the ground is expected to be white, but it is green.
  In (9,3), the ground is expected to be red, but it is white.
  In (9,4), the ground is expected to be white, but it is yellow.
  In (9,6), the ground is expected to be red, but it is blue.
  In (9,8), the ground is expected to be red, but it is yellow.
  In (9,16), the ground is expected to be red, but it is white.
  In (9,18), the ground is expected to be red, but it is white.
  In (9,20), the ground is expected to be white, but it is blue.
  In (9,21), the ground is expected to be red, but it is blue.
  In (9,22), the ground is expected to be white, but it is red.
  In (9,23), the ground is expected to be red, but it is yellow.
  In (9,24), the ground is expected to be white, but it is yellow.
  In (9,26), the ground is expected to be red, but it is green.
  In (9,28), the ground is expected to be red, but it is green.
  In (9,30), the ground is expected to be white, but it is blue.
  In (9,31), the ground is expected to be red, but it is white.
  In (9,32), the ground is expected to be white, but it is green.
  In (9,33), the ground is expected to be red, but it is white.
  In (9,34), the ground is expected to be white, but it is yellow.
  In (9,35), the ground is expected to be white, but it is blue.
  In (9,36), the ground is expected to be red, but it is white.
  In (9,37), the ground is expected to be white, but it is red.
  In (9,38), the ground is expected to be red, but it is white.
  In (9,39), the ground is expected to be white, but it is yellow.
  In (10,1), the ground is expected to be green, but it is blue.
  In (10,3), the ground is expected to be green, but it is yellow.
  In (10,5), the ground is expected to be white, but it is blue.
  In (10,6), the ground is expected to be green, but it is white.
  In (10,7), the ground is expected to be white, but it is red.
  In (10,8), the ground is expected to be green, but it is white.
  In (10,9), the ground is expected to be white, but it is yellow.
  In (10,16), the ground is expected to be green, but it is white.
  In (10,18), the ground is expected to be green, but it is white.
  In (10,20), the ground is expected to be white, but it is blue.
  In (10,21), the ground is expected to be green, but it is red.
  In (10,22), the ground is expected to be white, but it is red.
  In (10,23), the ground is expected to be green, but it is red.
  In (10,24), the ground is expected to be white, but it is yellow.
  In (10,25), the ground is expected to be white, but it is blue.
  In (10,26), the ground is expected to be green, but it is white.
  In (10,27), the ground is expected to be white, but it is green.
  In (10,28), the ground is expected to be green, but it is white.
  In (10,29), the ground is expected to be white, but it is yellow.
  In (10,31), the ground is expected to be green, but it is blue.
  In (10,33), the ground is expected to be green, but it is yellow.
  In (10,36), the ground is expected to be green, but it is red.
  In (10,38), the ground is expected to be green, but it is red.
  In (11,2), the ground is expected to be green, but it is red.
  In (11,5), the ground is expected to be blue, but it is white.
  In (11,6), the ground is expected to be white, but it is red.
  In (11,7), the ground is expected to be green, but it is white.
