The amount of steps is wrong: 6 is not 0
  In (23,13), the ground is expected to be black, but it is white.
  In (23,15), the ground is expected to be black, but it is white.
  In (23,17), the ground is expected to be black, but it is white.
  In (23,18), the ground is expected to be black, but it is white.
  In (23,19), the ground is expected to be black, but it is white.
  In (23,20), the ground is expected to be black, but it is white.
  In (23,21), the ground is expected to be black, but it is white.
  In (23,22), the ground is expected to be black, but it is white.
  In (23,23), the ground is expected to be black, but it is white.
  In (23,25), the ground is expected to be black, but it is white.
  In (23,27), the ground is expected to be black, but it is white.
  In (23,28), the ground is expected to be black, but it is white.
  In (23,33), the ground is expected to be black, but it is white.
  In (23,34), the ground is expected to be black, but it is white.
  In (23,35), the ground is expected to be black, but it is white.
  In (23,40), the ground is expected to be black, but it is white.
  In (23,44), the ground is expected to be black, but it is white.
  In (23,45), the ground is expected to be black, but it is white.
  In (23,46), the ground is expected to be black, but it is white.
  In (23,47), the ground is expected to be black, but it is white.
  In (23,48), the ground is expected to be black, but it is white.
  In (23,50), the ground is expected to be black, but it is white.
  In (23,51), the ground is expected to be black, but it is white.
  In (23,52), the ground is expected to be black, but it is white.
  In (23,53), the ground is expected to be black, but it is white.
  In (23,54), the ground is expected to be black, but it is white.
  In (23,55), the ground is expected to be black, but it is white.
  In (23,56), the ground is expected to be black, but it is white.
  In (23,57), the ground is expected to be black, but it is white.
  In (23,58), the ground is expected to be black, but it is white.
  In (23,59), the ground is expected to be black, but it is white.
  In (23,60), the ground is expected to be black, but it is white.
  In (23,61), the ground is expected to be black, but it is white.
  In (23,62), the ground is expected to be black, but it is white.
  In (23,63), the ground is expected to be black, but it is white.
  In (23,64), the ground is expected to be black, but it is white.
  In (23,65), the ground is expected to be black, but it is white.
  In (24,11), the ground is expected to be black, but it is white.
  In (24,12), the ground is expected to be black, but it is white.
  In (24,14), the ground is expected to be black, but it is white.
  In (24,15), the ground is expected to be black, but it is white.
  In (24,20), the ground is expected to be black, but it is white.
  In (24,22), the ground is expected to be black, but it is white.
  In (24,23), the ground is expected to be black, but it is white.
  In (24,27), the ground is expected to be black, but it is white.
  In (24,36), the ground is expected to be black, but it is white.
  In (24,39), the ground is expected to be black, but it is white.
  In (24,40), the ground is expected to be black, but it is white.
  In (24,42), the ground is expected to be black, but it is white.
  In (24,43), the ground is expected to be black, but it is white.
  In (24,46), the ground is expected to be black, but it is white.
  In (24,47), the ground is expected to be black, but it is white.
  In (24,52), the ground is expected to be black, but it is white.
  In (24,56), the ground is expected to be black, but it is white.
  In (24,57), the ground is expected to be black, but it is white.
  In (24,59), the ground is expected to be black, but it is white.
  In (24,60), the ground is expected to be black, but it is white.
  In (24,61), the ground is expected to be black, but it is white.
  In (24,63), the ground is expected to be black, but it is white.
  In (24,64), the ground is expected to be black, but it is white.
  In (25,8), the ground is expected to be black, but it is white.
  In (25,9), the ground is expected to be black, but it is white.
  In (25,10), the ground is expected to be black, but it is white.
  In (25,11), the ground is expected to be black, but it is white.
  In (25,13), the ground is expected to be black, but it is white.
  In (25,14), the ground is expected to be black, but it is white.
  In (25,20), the ground is expected to be black, but it is white.
  In (25,21), the ground is expected to be black, but it is white.
  In (25,22), the ground is expected to be black, but it is white.
  In (25,31), the ground is expected to be black, but it is white.
  In (25,32), the ground is expected to be black, but it is white.
  In (25,33), the ground is expected to be black, but it is white.
  In (25,36), the ground is expected to be black, but it is white.
  In (25,37), the ground is expected to be black, but it is white.
  In (25,38), the ground is expected to be black, but it is white.
  In (25,39), the ground is expected to be black, but it is white.
  In (25,41), the ground is expected to be black, but it is white.
  In (25,42), the ground is expected to be black, but it is white.
  In (25,43), the ground is expected to be black, but it is white.
  In (25,44), the ground is expected to be black, but it is white.
  In (25,45), the ground is expected to be black, but it is white.
  In (25,47), the ground is expected to be black, but it is white.
  In (25,49), the ground is expected to be black, but it is white.
  In (25,50), the ground is expected to be black, but it is white.
  In (25,51), the ground is expected to be black, but it is white.
  In (25,55), the ground is expected to be black, but it is white.
  In (25,56), the ground is expected to be black, but it is white.
  In (25,61), the ground is expected to be black, but it is white.
  In (25,63), the ground is expected to be black, but it is white.
  In (25,64), the ground is expected to be black, but it is white.
  In (25,65), the ground is expected to be black, but it is white.
  In (26,8), the ground is expected to be black, but it is white.
  In (26,10), the ground is expected to be black, but it is white.
  In (26,11), the ground is expected to be black, but it is white.
  In (26,12), the ground is expected to be black, but it is white.
  In (26,15), the ground is expected to be black, but it is white.
  In (26,17), the ground is expected to be black, but it is white.
  In (26,18), the ground is expected to be black, but it is white.
  In (26,21), the ground is expected to be black, but it is white.
  In (26,22), the ground is expected to be black, but it is white.
  In (26,23), the ground is expected to be black, but it is white.
  In (26,25), the ground is expected to be black, but it is white.
  In (26,27), the ground is expected to be black, but it is white.
  In (26,28), the ground is expected to be black, but it is white.
  In (26,31), the ground is expected to be black, but it is white.
  In (26,32), the ground is expected to be black, but it is white.
  In (26,33), the ground is expected to be black, but it is white.
  In (26,34), the ground is expected to be black, but it is white.
  In (26,35), the ground is expected to be black, but it is white.
  In (26,37), the ground is expected to be black, but it is white.
  In (26,40), the ground is expected to be black, but it is white.
  In (26,42), the ground is expected to be black, but it is white.
  In (26,45), the ground is expected to be black, but it is white.
  In (26,49), the ground is expected to be black, but it is white.
  In (26,51), the ground is expected to be black, but it is white.
  In (26,56), the ground is expected to be black, but it is white.
  In (26,57), the ground is expected to be black, but it is white.
  In (26,60), the ground is expected to be black, but it is white.
  In (26,61), the ground is expected to be black, but it is white.
  In (26,62), the ground is expected to be black, but it is white.
  In (26,65), the ground is expected to be black, but it is white.
  In (27,8), the ground is expected to be black, but it is white.
  In (27,9), the ground is expected to be black, but it is white.
  In (27,14), the ground is expected to be black, but it is white.
  In (27,16), the ground is expected to be black, but it is white.
  In (27,20), the ground is expected to be black, but it is white.
  In (27,22), the ground is expected to be black, but it is white.
  In (27,23), the ground is expected to be black, but it is white.
  In (27,24), the ground is expected to be black, but it is white.
  In (27,25), the ground is expected to be black, but it is white.
  In (27,26), the ground is expected to be black, but it is white.
  In (27,27), the ground is expected to be black, but it is white.
  In (27,28), the ground is expected to be black, but it is white.
  In (27,30), the ground is expected to be black, but it is white.
  In (27,31), the ground is expected to be black, but it is white.
  In (27,32), the ground is expected to be black, but it is white.
  In (27,33), the ground is expected to be black, but it is white.
  In (27,34), the ground is expected to be black, but it is white.
  In (27,35), the ground is expected to be black, but it is white.
  In (27,36), the ground is expected to be black, but it is white.
  In (27,38), the ground is expected to be black, but it is white.
  In (27,43), the ground is expected to be black, but it is white.
  In (27,44), the ground is expected to be black, but it is white.
  In (27,47), the ground is expected to be black, but it is white.
  In (27,49), the ground is expected to be black, but it is white.
  In (27,50), the ground is expected to be black, but it is white.
  In (27,51), the ground is expected to be black, but it is white.
  In (27,56), the ground is expected to be black, but it is white.
  In (27,61), the ground is expected to be black, but it is white.
  In (27,62), the ground is expected to be black, but it is white.
  In (28,7), the ground is expected to be black, but it is white.
  In (28,10), the ground is expected to be black, but it is white.
  In (28,11), the ground is expected to be black, but it is white.
  In (28,12), the ground is expected to be black, but it is white.
  In (28,13), the ground is expected to be black, but it is white.
  In (28,14), the ground is expected to be black, but it is white.
  In (28,15), the ground is expected to be black, but it is white.
  In (28,16), the ground is expected to be black, but it is white.
  In (28,17), the ground is expected to be black, but it is white.
  In (28,18), the ground is expected to be black, but it is white.
  In (28,21), the ground is expected to be black, but it is white.
  In (28,22), the ground is expected to be black, but it is white.
  In (28,24), the ground is expected to be black, but it is white.
  In (28,28), the ground is expected to be black, but it is white.
  In (28,29), the ground is expected to be black, but it is white.
  In (28,30), the ground is expected to be black, but it is white.
  In (28,32), the ground is expected to be black, but it is white.
  In (28,33), the ground is expected to be black, but it is white.
  In (28,39), the ground is expected to be black, but it is white.
  In (28,44), the ground is expected to be black, but it is white.
  In (28,47), the ground is expected to be black, but it is white.
  In (28,48), the ground is expected to be black, but it is white.
  In (28,49), the ground is expected to be black, but it is white.
  In (28,50), the ground is expected to be black, but it is white.
  In (28,54), the ground is expected to be black, but it is white.
  In (28,56), the ground is expected to be black, but it is white.
  In (28,57), the ground is expected to be black, but it is white.
  In (28,59), the ground is expected to be black, but it is white.
  In (28,60), the ground is expected to be black, but it is white.
  In (28,61), the ground is expected to be black, but it is white.
  In (29,6), the ground is expected to be black, but it is white.
  In (29,7), the ground is expected to be black, but it is white.
  In (29,8), the ground is expected to be black, but it is white.
  In (29,10), the ground is expected to be black, but it is white.
  In (29,11), the ground is expected to be black, but it is white.
  In (29,13), the ground is expected to be black, but it is white.
  In (29,20), the ground is expected to be black, but it is white.
  In (29,21), the ground is expected to be black, but it is white.
  In (29,22), the ground is expected to be black, but it is white.
  In (29,27), the ground is expected to be black, but it is white.
  In (29,28), the ground is expected to be black, but it is white.
  In (29,33), the ground is expected to be black, but it is white.
  In (29,36), the ground is expected to be black, but it is white.
  In (29,38), the ground is expected to be black, but it is white.
  In (29,39), the ground is expected to be black, but it is white.
  In (29,41), the ground is expected to be black, but it is white.
  In (29,42), the ground is expected to be black, but it is white.
  In (29,44), the ground is expected to be black, but it is white.
  In (29,45), the ground is expected to be black, but it is white.
  In (29,46), the ground is expected to be black, but it is white.
  In (29,49), the ground is expected to be black, but it is white.
  In (29,50), the ground is expected to be black, but it is white.
  In (29,51), the ground is expected to be black, but it is white.
  In (29,52), the ground is expected to be black, but it is white.
  In (29,53), the ground is expected to be black, but it is white.
  In (29,54), the ground is expected to be black, but it is white.
  In (29,55), the ground is expected to be black, but it is white.
  In (29,56), the ground is expected to be black, but it is white.
  In (29,57), the ground is expected to be black, but it is white.
  In (29,60), the ground is expected to be black, but it is white.
  In (30,5), the ground is expected to be black, but it is white.
  In (30,6), the ground is expected to be black, but it is white.
  In (30,11), the ground is expected to be black, but it is white.
  In (30,19), the ground is expected to be black, but it is white.
  In (30,20), the ground is expected to be black, but it is white.
  In (30,22), the ground is expected to be black, but it is white.
  In (30,28), the ground is expected to be black, but it is white.
  In (30,30), the ground is expected to be black, but it is white.
  In (30,31), the ground is expected to be black, but it is white.
  In (30,32), the ground is expected to be black, but it is white.
  In (30,33), the ground is expected to be black, but it is white.
  In (30,38), the ground is expected to be black, but it is white.
  In (30,39), the ground is expected to be black, but it is white.
  In (30,42), the ground is expected to be black, but it is white.
  In (30,44), the ground is expected to be black, but it is white.
  In (30,47), the ground is expected to be black, but it is white.
  In (30,48), the ground is expected to be black, but it is white.
  In (30,51), the ground is expected to be black, but it is white.
  In (30,53), the ground is expected to be black, but it is white.
  In (30,58), the ground is expected to be black, but it is white.
  In (30,59), the ground is expected to be black, but it is white.
  In (31,2), the ground is expected to be black, but it is white.
  In (31,5), the ground is expected to be black, but it is white.
  In (31,6), the ground is expected to be black, but it is white.
  In (31,7), the ground is expected to be black, but it is white.
  In (31,10), the ground is expected to be black, but it is white.
  In (31,11), the ground is expected to be black, but it is white.
  In (31,30), the ground is expected to be black, but it is white.
  In (31,31), the ground is expected to be black, but it is white.
  In (31,32), the ground is expected to be black, but it is white.
  In (31,33), the ground is expected to be black, but it is white.
  In (31,37), the ground is expected to be black, but it is white.
  In (31,42), the ground is expected to be black, but it is white.
  In (31,44), the ground is expected to be black, but it is white.
  In (31,45), the ground is expected to be black, but it is white.
  In (31,48), the ground is expected to be black, but it is white.
  In (31,49), the ground is expected to be black, but it is white.
  In (31,50), the ground is expected to be black, but it is white.
  In (31,52), the ground is expected to be black, but it is white.
  In (31,55), the ground is expected to be black, but it is white.
  In (31,59), the ground is expected to be black, but it is white.
  In (32,2), the ground is expected to be black, but it is white.
  In (32,3), the ground is expected to be black, but it is white.
  In (32,4), the ground is expected to be black, but it is white.
  In (32,6), the ground is expected to be black, but it is white.
  In (32,11), the ground is expected to be black, but it is white.
  In (32,12), the ground is expected to be black, but it is white.
  In (32,30), the ground is expected to be black, but it is white.
  In (32,36), the ground is expected to be black, but it is white.
  In (32,37), the ground is expected to be black, but it is white.
  In (32,41), the ground is expected to be black, but it is white.
  In (32,43), the ground is expected to be black, but it is white.
  In (32,44), the ground is expected to be black, but it is white.
  In (32,46), the ground is expected to be black, but it is white.
  In (32,47), the ground is expected to be black, but it is white.
  In (32,50), the ground is expected to be black, but it is white.
  In (32,52), the ground is expected to be black, but it is white.
  In (32,55), the ground is expected to be black, but it is white.
  In (32,56), the ground is expected to be black, but it is white.
  In (32,57), the ground is expected to be black, but it is white.
  In (32,58), the ground is expected to be black, but it is white.
  In (33,3), the ground is expected to be black, but it is white.
  In (33,4), the ground is expected to be black, but it is white.
  In (33,6), the ground is expected to be black, but it is white.
  In (33,7), the ground is expected to be black, but it is white.
  In (33,8), the ground is expected to be black, but it is white.
  In (33,10), the ground is expected to be black, but it is white.
  In (33,11), the ground is expected to be black, but it is white.
  In (33,28), the ground is expected to be black, but it is white.
  In (33,29), the ground is expected to be black, but it is white.
  In (33,30), the ground is expected to be black, but it is white.
  In (33,32), the ground is expected to be black, but it is white.
  In (33,34), the ground is expected to be black, but it is white.
  In (33,35), the ground is expected to be black, but it is white.
  In (33,37), the ground is expected to be black, but it is white.
  In (33,40), the ground is expected to be black, but it is white.
  In (33,41), the ground is expected to be black, but it is white.
  In (33,43), the ground is expected to be black, but it is white.
  In (33,45), the ground is expected to be black, but it is white.
  In (33,46), the ground is expected to be black, but it is white.
  In (33,47), the ground is expected to be black, but it is white.
  In (33,49), the ground is expected to be black, but it is white.
  In (33,50), the ground is expected to be black, but it is white.
  In (33,51), the ground is expected to be black, but it is white.
  In (33,54), the ground is expected to be black, but it is white.
  In (33,57), the ground is expected to be black, but it is white.
