  In (59,5), the ground is expected to be light grey, but it is white.
  In (59,8), the ground is expected to be light grey, but it is white.
  In (59,12), the ground is expected to be light grey, but it is white.
  In (60,0), the ground is expected to be light grey, but it is white.
  In (60,6), the ground is expected to be light grey, but it is white.
  In (60,7), the ground is expected to be light grey, but it is white.
  In (60,13), the ground is expected to be light grey, but it is white.
  In (61,3), the ground is expected to be light grey, but it is white.
  In (61,10), the ground is expected to be light grey, but it is white.
  In (62,2), the ground is expected to be light grey, but it is white.
  In (62,4), the ground is expected to be light grey, but it is white.
  In (62,9), the ground is expected to be light grey, but it is white.
  In (62,11), the ground is expected to be light grey, but it is white.
  Something is wrong about buggle 'Picasso':
    Its position is (0,13); expected: (0,62).

