  In (9,42), the ground is expected to be light grey, but it is white.
  In (9,43), the ground is expected to be white, but it is light grey.
  In (9,45), the ground is expected to be white, but it is light grey.
  In (9,47), the ground is expected to be white, but it is light grey.
  In (9,48), the ground is expected to be light grey, but it is white.
  In (9,49), the ground is expected to be light grey, but it is white.
  In (9,54), the ground is expected to be white, but it is light grey.
  In (9,55), the ground is expected to be light grey, but it is white.
  In (9,59), the ground is expected to be white, but it is light grey.
  In (9,61), the ground is expected to be white, but it is light grey.
  In (9,62), the ground is expected to be light grey, but it is white.
  In (10,1), the ground is expected to be light grey, but it is white.
  In (10,5), the ground is expected to be light grey, but it is white.
  In (10,6), the ground is expected to be white, but it is light grey.
  In (10,12), the ground is expected to be light grey, but it is white.
  In (10,15), the ground is expected to be light grey, but it is white.
  In (10,19), the ground is expected to be light grey, but it is white.
  In (10,22), the ground is expected to be light grey, but it is white.
  In (10,26), the ground is expected to be light grey, but it is white.
  In (10,29), the ground is expected to be light grey, but it is white.
  In (10,33), the ground is expected to be light grey, but it is white.
  In (10,34), the ground is expected to be white, but it is light grey.
  In (10,40), the ground is expected to be light grey, but it is white.
  In (10,43), the ground is expected to be light grey, but it is white.
  In (10,44), the ground is expected to be white, but it is light grey.
  In (10,46), the ground is expected to be white, but it is light grey.
  In (10,47), the ground is expected to be light grey, but it is white.
  In (10,50), the ground is expected to be light grey, but it is white.
  In (10,53), the ground is expected to be white, but it is light grey.
  In (10,54), the ground is expected to be light grey, but it is white.
  In (10,55), the ground is expected to be white, but it is light grey.
  In (10,58), the ground is expected to be white, but it is light grey.
  In (10,60), the ground is expected to be white, but it is light grey.
  In (10,61), the ground is expected to be light grey, but it is white.
  In (10,62), the ground is expected to be white, but it is light grey.
  In (11,0), the ground is expected to be light grey, but it is white.
  In (11,5), the ground is expected to be white, but it is light grey.
  In (11,6), the ground is expected to be light grey, but it is white.
  In (11,9), the ground is expected to be white, but it is light grey.
  In (11,13), the ground is expected to be light grey, but it is white.
  In (11,14), the ground is expected to be light grey, but it is white.
  In (11,20), the ground is expected to be light grey, but it is white.
  In (11,21), the ground is expected to be light grey, but it is white.
  In (11,27), the ground is expected to be light grey, but it is white.
  In (11,28), the ground is expected to be light grey, but it is white.
  In (11,33), the ground is expected to be white, but it is light grey.
  In (11,34), the ground is expected to be light grey, but it is white.
  In (11,37), the ground is expected to be white, but it is light grey.
  In (11,41), the ground is expected to be light grey, but it is white.
  In (11,42), the ground is expected to be light grey, but it is white.
  In (11,44), the ground is expected to be white, but it is light grey.
  In (11,46), the ground is expected to be white, but it is light grey.
  In (11,48), the ground is expected to be light grey, but it is white.
  In (11,49), the ground is expected to be light grey, but it is white.
