  In (23,0), the ground is expected to be light grey, but it is white.
  In (23,6), the ground is expected to be light grey, but it is white.
  In (23,7), the ground is expected to be light grey, but it is white.
  In (23,13), the ground is expected to be light grey, but it is white.
  In (23,16), the ground is expected to be white, but it is light grey.
  In (23,20), the ground is expected to be light grey, but it is white.
  In (23,21), the ground is expected to be light grey, but it is white.
  In (23,27), the ground is expected to be light grey, but it is white.
  In (23,28), the ground is expected to be light grey, but it is white.
  In (23,34), the ground is expected to be light grey, but it is white.
  In (23,35), the ground is expected to be light grey, but it is white.
  In (23,39), the ground is expected to be white, but it is light grey.
  In (23,42), the ground is expected to be light grey, but it is white.
  In (23,48), the ground is expected to be light grey, but it is white.
  In (23,49), the ground is expected to be light grey, but it is white.
  In (23,53), the ground is expected to be white, but it is light grey.
  In (23,56), the ground is expected to be light grey, but it is white.
  In (23,57), the ground is expected to be white, but it is light grey.
  In (23,62), the ground is expected to be light grey, but it is white.
  In (24,1), the ground is expected to be light grey, but it is white.
  In (24,5), the ground is expected to be light grey, but it is white.
  In (24,8), the ground is expected to be light grey, but it is white.
  In (24,12), the ground is expected to be light grey, but it is white.
  In (24,13), the ground is expected to be white, but it is light grey.
  In (24,17), the ground is expected to be white, but it is light grey.
  In (24,19), the ground is expected to be light grey, but it is white.
  In (24,22), the ground is expected to be light grey, but it is white.
  In (24,26), the ground is expected to be light grey, but it is white.
  In (24,29), the ground is expected to be light grey, but it is white.
  In (24,33), the ground is expected to be light grey, but it is white.
  In (24,36), the ground is expected to be light grey, but it is white.
  In (24,38), the ground is expected to be white, but it is light grey.
  In (24,42), the ground is expected to be white, but it is light grey.
  In (24,43), the ground is expected to be light grey, but it is white.
  In (24,47), the ground is expected to be light grey, but it is white.
  In (24,50), the ground is expected to be light grey, but it is white.
  In (24,56), the ground is expected to be white, but it is light grey.
  In (24,57), the ground is expected to be light grey, but it is white.
  In (24,61), the ground is expected to be light grey, but it is white.
  In (25,0), the ground is expected to be light grey, but it is white.
  In (25,6), the ground is expected to be light grey, but it is white.
  In (25,7), the ground is expected to be light grey, but it is white.
  In (25,13), the ground is expected to be light grey, but it is white.
  In (25,16), the ground is expected to be white, but it is light grey.
  In (25,20), the ground is expected to be light grey, but it is white.
  In (25,21), the ground is expected to be light grey, but it is white.
  In (25,27), the ground is expected to be light grey, but it is white.
  In (25,28), the ground is expected to be light grey, but it is white.
  In (25,34), the ground is expected to be light grey, but it is white.
  In (25,35), the ground is expected to be light grey, but it is white.
  In (25,39), the ground is expected to be white, but it is light grey.
  In (25,42), the ground is expected to be light grey, but it is white.
  In (25,48), the ground is expected to be light grey, but it is white.
  In (25,49), the ground is expected to be light grey, but it is white.
  In (25,54), the ground is expected to be white, but it is light grey.
  In (25,55), the ground is expected to be light grey, but it is white.
  In (25,62), the ground is expected to be light grey, but it is white.
  In (26,3), the ground is expected to be light grey, but it is white.
  In (26,10), the ground is expected to be light grey, but it is white.
  In (26,13), the ground is expected to be white, but it is light grey.
  In (26,15), the ground is expected to be white, but it is light grey.
  In (26,24), the ground is expected to be light grey, but it is white.
  In (26,31), the ground is expected to be light grey, but it is white.
  In (26,34), the ground is expected to be white, but it is light grey.
  In (26,36), the ground is expected to be white, but it is light grey.
  In (26,38), the ground is expected to be light grey, but it is white.
  In (26,45), the ground is expected to be light grey, but it is white.
  In (26,52), the ground is expected to be light grey, but it is white.
  In (26,53), the ground is expected to be white, but it is light grey.
  In (26,55), the ground is expected to be white, but it is light grey.
  In (26,57), the ground is expected to be white, but it is light grey.
  In (26,59), the ground is expected to be light grey, but it is white.
  In (27,2), the ground is expected to be light grey, but it is white.
  In (27,4), the ground is expected to be light grey, but it is white.
  In (27,9), the ground is expected to be light grey, but it is white.
  In (27,11), the ground is expected to be light grey, but it is white.
  In (27,14), the ground is expected to be white, but it is light grey.
  In (27,18), the ground is expected to be light grey, but it is white.
  In (27,23), the ground is expected to be light grey, but it is white.
  In (27,25), the ground is expected to be light grey, but it is white.
  In (27,30), the ground is expected to be light grey, but it is white.
  In (27,32), the ground is expected to be light grey, but it is white.
  In (27,33), the ground is expected to be white, but it is light grey.
  In (27,35), the ground is expected to be white, but it is light grey.
  In (27,39), the ground is expected to be light grey, but it is white.
  In (27,44), the ground is expected to be light grey, but it is white.
  In (27,46), the ground is expected to be light grey, but it is white.
  In (27,51), the ground is expected to be light grey, but it is white.
  In (27,53), the ground is expected to be light grey, but it is white.
  In (27,54), the ground is expected to be white, but it is light grey.
  In (27,56), the ground is expected to be white, but it is light grey.
  In (27,58), the ground is expected to be light grey, but it is white.
  In (27,60), the ground is expected to be light grey, but it is white.
  In (28,2), the ground is expected to be light grey, but it is white.
  In (28,4), the ground is expected to be light grey, but it is white.
  In (28,9), the ground is expected to be light grey, but it is white.
  In (28,11), the ground is expected to be light grey, but it is white.
  In (28,14), the ground is expected to be white, but it is light grey.
  In (28,18), the ground is expected to be light grey, but it is white.
  In (28,23), the ground is expected to be light grey, but it is white.
  In (28,25), the ground is expected to be light grey, but it is white.
  In (28,30), the ground is expected to be light grey, but it is white.
  In (28,32), the ground is expected to be light grey, but it is white.
  In (28,34), the ground is expected to be white, but it is light grey.
  In (28,36), the ground is expected to be white, but it is light grey.
  In (28,37), the ground is expected to be light grey, but it is white.
  In (28,39), the ground is expected to be light grey, but it is white.
  In (28,44), the ground is expected to be light grey, but it is white.
  In (28,46), the ground is expected to be light grey, but it is white.
  In (28,51), the ground is expected to be light grey, but it is white.
  In (28,55), the ground is expected to be white, but it is light grey.
  In (28,57), the ground is expected to be white, but it is light grey.
  In (28,58), the ground is expected to be light grey, but it is white.
