  In (9,14), the ground is expected to be light grey, but it is white.
  In (9,19), the ground is expected to be white, but it is light grey.
  In (9,20), the ground is expected to be light grey, but it is white.
  In (9,22), the ground is expected to be white, but it is light grey.
  In (9,24), the ground is expected to be white, but it is light grey.
  In (9,25), the ground is expected to be white, but it is light grey.
  In (9,28), the ground is expected to be light grey, but it is white.
  In (9,34), the ground is expected to be light grey, but it is white.
  In (9,35), the ground is expected to be light grey, but it is white.
  In (9,39), the ground is expected to be white, but it is light grey.
  In (9,44), the ground is expected to be white, but it is light grey.
  In (9,45), the ground is expected to be white, but it is light grey.
  In (9,47), the ground is expected to be white, but it is light grey.
  In (9,48), the ground is expected to be light grey, but it is white.
  In (9,49), the ground is expected to be light grey, but it is white.
  In (9,55), the ground is expected to be light grey, but it is white.
  In (9,56), the ground is expected to be light grey, but it is white.
  In (9,59), the ground is expected to be white, but it is light grey.
  In (9,61), the ground is expected to be white, but it is light grey.
  In (10,0), the ground is expected to be white, but it is light grey.
  In (10,2), the ground is expected to be white, but it is light grey.
  In (10,3), the ground is expected to be white, but it is light grey.
  In (10,8), the ground is expected to be light grey, but it is white.
  In (10,12), the ground is expected to be light grey, but it is white.
  In (10,15), the ground is expected to be light grey, but it is white.
  In (10,18), the ground is expected to be white, but it is light grey.
  In (10,19), the ground is expected to be light grey, but it is white.
  In (10,20), the ground is expected to be white, but it is light grey.
  In (10,21), the ground is expected to be white, but it is light grey.
  In (10,23), the ground is expected to be white, but it is light grey.
  In (10,24), the ground is expected to be white, but it is light grey.
  In (10,25), the ground is expected to be white, but it is light grey.
  In (10,28), the ground is expected to be white, but it is light grey.
  In (10,29), the ground is expected to be light grey, but it is white.
  In (10,33), the ground is expected to be light grey, but it is white.
  In (10,36), the ground is expected to be light grey, but it is white.
  In (10,38), the ground is expected to be white, but it is light grey.
  In (10,41), the ground is expected to be white, but it is light grey.
  In (10,42), the ground is expected to be white, but it is light grey.
  In (10,44), the ground is expected to be white, but it is light grey.
  In (10,45), the ground is expected to be white, but it is light grey.
  In (10,46), the ground is expected to be white, but it is light grey.
  In (10,47), the ground is expected to be light grey, but it is white.
  In (10,48), the ground is expected to be white, but it is light grey.
  In (10,50), the ground is expected to be light grey, but it is white.
  In (10,54), the ground is expected to be light grey, but it is white.
  In (10,57), the ground is expected to be light grey, but it is white.
  In (10,58), the ground is expected to be white, but it is light grey.
