The turtle Hawksbill is not heading to the right direction.  There is 294 shapes, but only 180 shapes were expected
Superflous shapes in your solution:
   Line (x150,000 y150,000 / x219,466 y78,066 / black) 
   Line (x150,000 y150,000 / x222,537 y218,835 / black) 
   Line (x150,000 y150,000 / x223,135 y81,800 / black) 
   Line (x150,000 y150,000 / x226,041 y214,945 / black) 
   Line (x150,000 y150,000 / x226,604 y85,721 / black) 
   Line (x150,000 y150,000 / x229,335 y210,876 / black) 
   Line (x150,000 y150,000 / x229,864 y89,818 / black) 
   Line (x150,000 y150,000 / x232,413 y206,641 / black) 
   Line (x150,000 y150,000 / x232,904 y94,081 / black) 
   Line (x150,000 y150,000 / x235,717 y98,496 / black) 
   Line (x150,000 y150,000 / x248,902 y164,781 / black) 
   Line (x150,000 y150,000 / x249,027 y136,083 / black) 
   Line (x150,000 y150,000 / x249,540 y159,585 / black) 
   Line (x150,000 y150,000 / x249,619 y141,284 / black) 
   Line (x150,000 y150,000 / x249,905 y154,362 / black) 
   Line (x150,000 y150,000 / x249,939 y146,510 / black) 
   Line (x150,000 y150,000 / x249,999 y150,436 / black) 
Missing shapes in your solution:
   Line (x50,000 y150,000 / x250,000 y150,000 / red) 
   Line (x50,015 y148,255 / x249,985 y151,745 / red) 
   Line (x50,015 y151,745 / x249,985 y148,255 / red) 
   Line (x50,061 y146,510 / x249,939 y153,490 / red) 
   Line (x50,061 y153,490 / x249,939 y146,510 / red) 
   Line (x50,137 y144,766 / x249,863 y155,234 / red) 
   Line (x50,137 y155,234 / x249,863 y144,766 / red) 
   Line (x50,244 y143,024 / x249,756 y156,976 / red) 
   Line (x50,244 y156,976 / x249,756 y143,024 / red) 
   Line (x50,381 y141,284 / x249,619 y158,716 / red) 
   Line (x50,381 y158,716 / x249,619 y141,284 / red) 
   Line (x50,548 y139,547 / x249,452 y160,453 / red) 
   Line (x50,548 y160,453 / x249,452 y139,547 / red) 
   Line (x50,745 y137,813 / x249,255 y162,187 / red) 
   Line (x50,745 y162,187 / x249,255 y137,813 / red) 
   Line (x50,973 y136,083 / x249,027 y163,917 / red) 
   Line (x50,973 y163,917 / x249,027 y136,083 / red) 
   Line (x51,231 y134,357 / x248,769 y165,643 / red) 
   Line (x51,231 y165,643 / x248,769 y134,357 / red) 
   Line (x51,519 y132,635 / x248,481 y167,365 / black) 
   Line (x51,519 y167,365 / x248,481 y132,635 / red) 
   Line (x51,837 y130,919 / x248,163 y169,081 / black) 
   Line (x51,837 y169,081 / x248,163 y130,919 / black) 
   Line (x52,185 y129,209 / x247,815 y170,791 / black) 
   Line (x52,185 y170,791 / x247,815 y129,209 / black) 
   Line (x52,563 y127,505 / x247,437 y172,495 / black) 
   Line (x52,563 y172,495 / x247,437 y127,505 / black) 
   Line (x52,970 y125,808 / x247,030 y174,192 / black) 
   Line (x52,970 y174,192 / x247,030 y125,808 / black) 
   Line (x53,407 y124,118 / x246,593 y175,882 / black) 
   Line (x53,407 y175,882 / x246,593 y124,118 / black) 
   Line (x53,874 y122,436 / x246,126 y177,564 / black) 
   Line (x53,874 y177,564 / x246,126 y122,436 / black) 
   Line (x54,370 y120,763 / x245,630 y179,237 / black) 
   Line (x54,370 y179,237 / x245,630 y120,763 / black) 
   Line (x54,894 y119,098 / x245,106 y180,902 / black) 
   Line (x54,894 y180,902 / x245,106 y119,098 / black) 
   Line (x55,448 y117,443 / x244,552 y182,557 / black) 
   Line (x55,448 y182,557 / x244,552 y117,443 / black) 
   Line (x56,031 y115,798 / x243,969 y184,202 / black) 
   Line (x56,031 y184,202 / x243,969 y115,798 / black) 
   Line (x56,642 y114,163 / x243,358 y185,837 / black) 
   Line (x56,642 y185,837 / x243,358 y114,163 / black) 
   Line (x57,282 y112,539 / x242,718 y187,461 / black) 
   Line (x57,282 y187,461 / x242,718 y112,539 / black) 
   Line (x57,950 y110,927 / x242,050 y189,073 / black) 
   Line (x57,950 y189,073 / x242,050 y110,927 / black) 
   Line (x58,645 y109,326 / x241,355 y190,674 / black) 
   Line (x58,645 y190,674 / x241,355 y109,326 / black) 
   Line (x59,369 y107,738 / x240,631 y192,262 / black) 
   Line (x59,369 y192,262 / x240,631 y107,738 / black) 
   Line (x60,121 y106,163 / x239,879 y193,837 / black) 
   Line (x60,121 y193,837 / x239,879 y106,163 / black) 
   Line (x60,899 y104,601 / x239,101 y195,399 / black) 
   Line (x60,899 y195,399 / x239,101 y104,601 / black) 
   Line (x61,705 y103,053 / x238,295 y196,947 / black) 
   Line (x61,705 y196,947 / x238,295 y103,053 / black) 
   Line (x62,538 y101,519 / x237,462 y198,481 / black) 
   Line (x62,538 y198,481 / x237,462 y101,519 / black) 
   Line (x63,397 y100,000 / x236,603 y200,000 / red) 
   Line (x63,397 y200,000 / x236,603 y100,000 / black) 
   Line (x64,283 y98,496 / x235,717 y201,504 / red) 
   Line (x64,283 y201,504 / x235,717 y98,496 / red) 
   Line (x65,195 y97,008 / x234,805 y202,992 / red) 
   Line (x65,195 y202,992 / x234,805 y97,008 / red) 
   Line (x66,133 y204,464 / x233,867 y95,536 / red) 
   Line (x67,096 y94,081 / x232,904 y205,919 / red) 
   Line (x67,096 y205,919 / x232,904 y94,081 / red) 
   Line (x68,085 y92,642 / x231,915 y207,358 / red) 
   Line (x68,085 y207,358 / x231,915 y92,642 / red) 
   Line (x69,098 y208,779 / x230,902 y91,221 / red) 
