The amount of steps is wrong: 8342 is not 0
  In (12,49), the ground is expected to be yellow, but it is white.
  In (12,50), the ground is expected to be yellow, but it is white.
  In (12,51), the ground is expected to be yellow, but it is white.
  In (12,52), the ground is expected to be yellow, but it is white.
  In (12,53), the ground is expected to be yellow, but it is white.
  In (12,54), the ground is expected to be yellow, but it is white.
  In (12,55), the ground is expected to be yellow, but it is white.
  In (12,57), the ground is expected to be yellow, but it is white.
  In (12,58), the ground is expected to be yellow, but it is white.
  In (12,59), the ground is expected to be yellow, but it is white.
  In (12,76), the ground is expected to be white, but it is yellow.
  In (12,80), the ground is expected to be white, but it is red.
  In (12,92), the ground is expected to be white, but it is red.
  In (12,96), the ground is expected to be white, but it is yellow.
  In (13,14), the ground is expected to be white, but it is yellow.
  In (13,18), the ground is expected to be white, but it is red.
  In (13,20), the ground is expected to be white, but it is yellow.
  In (13,24), the ground is expected to be white, but it is red.
  In (13,34), the ground is expected to be yellow, but it is white.
  In (13,35), the ground is expected to be yellow, but it is white.
  In (13,37), the ground is expected to be yellow, but it is white.
  In (13,41), the ground is expected to be yellow, but it is white.
  In (13,42), the ground is expected to be yellow, but it is white.
  In (13,43), the ground is expected to be yellow, but it is white.
  In (13,44), the ground is expected to be yellow, but it is white.
  In (13,45), the ground is expected to be yellow, but it is white.
  In (13,46), the ground is expected to be yellow, but it is white.
  In (13,47), the ground is expected to be yellow, but it is white.
  In (13,48), the ground is expected to be yellow, but it is white.
  In (13,49), the ground is expected to be yellow, but it is white.
  In (13,51), the ground is expected to be yellow, but it is white.
  In (13,55), the ground is expected to be yellow, but it is white.
  In (13,57), the ground is expected to be yellow, but it is white.
  In (13,59), the ground is expected to be yellow, but it is white.
  In (13,60), the ground is expected to be yellow, but it is white.
  In (13,75), the ground is expected to be white, but it is yellow.
  In (13,79), the ground is expected to be white, but it is red.
  In (13,91), the ground is expected to be white, but it is red.
  In (13,95), the ground is expected to be white, but it is yellow.
  In (14,15), the ground is expected to be white, but it is yellow.
  In (14,19), the ground is expected to be white, but it is red.
  In (14,21), the ground is expected to be white, but it is yellow.
  In (14,25), the ground is expected to be white, but it is red.
  In (14,33), the ground is expected to be yellow, but it is white.
  In (14,34), the ground is expected to be yellow, but it is white.
  In (14,37), the ground is expected to be yellow, but it is white.
  In (14,39), the ground is expected to be yellow, but it is white.
  In (14,41), the ground is expected to be yellow, but it is white.
  In (14,42), the ground is expected to be yellow, but it is white.
  In (14,44), the ground is expected to be yellow, but it is white.
  In (14,45), the ground is expected to be yellow, but it is white.
  In (14,47), the ground is expected to be yellow, but it is white.
  In (14,48), the ground is expected to be yellow, but it is white.
  In (14,49), the ground is expected to be yellow, but it is white.
  In (14,54), the ground is expected to be yellow, but it is white.
  In (14,55), the ground is expected to be yellow, but it is white.
  In (14,58), the ground is expected to be yellow, but it is white.
  In (14,60), the ground is expected to be yellow, but it is white.
  In (14,61), the ground is expected to be yellow, but it is white.
  In (14,74), the ground is expected to be white, but it is yellow.
  In (14,78), the ground is expected to be white, but it is red.
  In (14,90), the ground is expected to be white, but it is red.
  In (14,94), the ground is expected to be white, but it is yellow.
  In (15,16), the ground is expected to be white, but it is yellow.
  In (15,20), the ground is expected to be white, but it is red.
  In (15,22), the ground is expected to be white, but it is yellow.
  In (15,26), the ground is expected to be white, but it is red.
  In (15,32), the ground is expected to be yellow, but it is white.
  In (15,33), the ground is expected to be yellow, but it is white.
  In (15,41), the ground is expected to be yellow, but it is white.
  In (15,43), the ground is expected to be yellow, but it is white.
  In (15,44), the ground is expected to be yellow, but it is white.
  In (15,45), the ground is expected to be yellow, but it is white.
  In (15,47), the ground is expected to be yellow, but it is white.
  In (15,49), the ground is expected to be yellow, but it is white.
  In (15,50), the ground is expected to be yellow, but it is white.
  In (15,51), the ground is expected to be yellow, but it is white.
  In (15,55), the ground is expected to be yellow, but it is white.
  In (15,56), the ground is expected to be yellow, but it is white.
  In (15,58), the ground is expected to be yellow, but it is white.
  In (15,59), the ground is expected to be yellow, but it is white.
  In (15,61), the ground is expected to be yellow, but it is white.
  In (15,62), the ground is expected to be yellow, but it is white.
  In (15,73), the ground is expected to be white, but it is yellow.
