The amount of steps is wrong: 83420 is not 0
  In (3,61), the ground is expected to be white, but it is red.
  In (3,64), the ground is expected to be white, but it is red.
  In (3,68), the ground is expected to be white, but it is red.
  In (3,69), the ground is expected to be white, but it is red.
  In (3,71), the ground is expected to be white, but it is red.
  In (3,74), the ground is expected to be white, but it is yellow.
  In (3,77), the ground is expected to be white, but it is yellow.
  In (3,78), the ground is expected to be white, but it is red.
  In (3,79), the ground is expected to be white, but it is red.
  In (3,80), the ground is expected to be white, but it is yellow.
  In (3,81), the ground is expected to be white, but it is red.
  In (3,82), the ground is expected to be white, but it is red.
  In (3,83), the ground is expected to be white, but it is red.
  In (3,87), the ground is expected to be white, but it is red.
  In (3,88), the ground is expected to be white, but it is red.
  In (3,89), the ground is expected to be white, but it is red.
  In (3,90), the ground is expected to be white, but it is red.
  In (3,96), the ground is expected to be white, but it is red.
  In (3,98), the ground is expected to be white, but it is red.
  In (3,99), the ground is expected to be white, but it is yellow.
  In (4,1), the ground is expected to be white, but it is red.
  In (4,2), the ground is expected to be white, but it is red.
  In (4,4), the ground is expected to be white, but it is red.
  In (4,7), the ground is expected to be white, but it is yellow.
  In (4,8), the ground is expected to be white, but it is yellow.
  In (4,9), the ground is expected to be white, but it is yellow.
  In (4,10), the ground is expected to be white, but it is red.
  In (4,11), the ground is expected to be white, but it is red.
  In (4,12), the ground is expected to be white, but it is red.
  In (4,13), the ground is expected to be white, but it is red.
  In (4,16), the ground is expected to be white, but it is yellow.
  In (4,17), the ground is expected to be white, but it is red.
  In (4,19), the ground is expected to be white, but it is red.
  In (4,21), the ground is expected to be white, but it is red.
  In (4,23), the ground is expected to be white, but it is yellow.
  In (4,25), the ground is expected to be white, but it is red.
  In (4,26), the ground is expected to be white, but it is red.
  In (4,28), the ground is expected to be white, but it is yellow.
  In (4,30), the ground is expected to be white, but it is red.
  In (4,32), the ground is expected to be white, but it is red.
  In (4,36), the ground is expected to be white, but it is yellow.
  In (4,40), the ground is expected to be white, but it is red.
  In (4,44), the ground is expected to be white, but it is red.
  In (4,48), the ground is expected to be white, but it is red.
  In (4,49), the ground is expected to be yellow, but it is white.
  In (4,50), the ground is expected to be yellow, but it is red.
  In (4,51), the ground is expected to be yellow, but it is white.
  In (4,54), the ground is expected to be white, but it is yellow.
  In (4,55), the ground is expected to be white, but it is yellow.
  In (4,56), the ground is expected to be white, but it is yellow.
  In (4,59), the ground is expected to be white, but it is yellow.
  In (4,63), the ground is expected to be white, but it is red.
  In (4,65), the ground is expected to be white, but it is red.
  In (4,66), the ground is expected to be white, but it is red.
  In (4,68), the ground is expected to be white, but it is red.
