The amount of steps is wrong: 8342 is not 0
  In (11,62), the ground is expected to be white, but it is yellow.
  In (11,76), the ground is expected to be white, but it is yellow.
  In (11,77), the ground is expected to be white, but it is yellow.
  In (11,79), the ground is expected to be white, but it is yellow.
  In (12,26), the ground is expected to be white, but it is yellow.
  In (12,27), the ground is expected to be white, but it is yellow.
  In (12,29), the ground is expected to be white, but it is yellow.
  In (12,30), the ground is expected to be white, but it is yellow.
  In (12,32), the ground is expected to be white, but it is yellow.
  In (12,36), the ground is expected to be white, but it is yellow.
  In (12,37), the ground is expected to be yellow, but it is white.
  In (12,38), the ground is expected to be yellow, but it is white.
  In (12,40), the ground is expected to be white, but it is yellow.
  In (12,41), the ground is expected to be yellow, but it is white.
  In (12,42), the ground is expected to be white, but it is yellow.
  In (12,44), the ground is expected to be yellow, but it is white.
  In (12,50), the ground is expected to be yellow, but it is white.
  In (12,52), the ground is expected to be yellow, but it is white.
  In (12,55), the ground is expected to be yellow, but it is white.
  In (12,56), the ground is expected to be white, but it is yellow.
  In (12,60), the ground is expected to be white, but it is yellow.
  In (12,61), the ground is expected to be white, but it is yellow.
  In (12,62), the ground is expected to be white, but it is yellow.
  In (12,63), the ground is expected to be white, but it is yellow.
  In (12,77), the ground is expected to be white, but it is yellow.
  In (12,78), the ground is expected to be white, but it is yellow.
  In (12,79), the ground is expected to be white, but it is yellow.
  In (13,25), the ground is expected to be white, but it is yellow.
  In (13,26), the ground is expected to be white, but it is yellow.
  In (13,27), the ground is expected to be white, but it is yellow.
  In (13,29), the ground is expected to be white, but it is yellow.
  In (13,30), the ground is expected to be white, but it is yellow.
  In (13,31), the ground is expected to be white, but it is yellow.
  In (13,32), the ground is expected to be white, but it is yellow.
  In (13,33), the ground is expected to be white, but it is yellow.
  In (13,42), the ground is expected to be yellow, but it is white.
  In (13,44), the ground is expected to be yellow, but it is white.
  In (13,45), the ground is expected to be yellow, but it is white.
  In (13,46), the ground is expected to be yellow, but it is white.
  In (13,47), the ground is expected to be yellow, but it is white.
  In (13,52), the ground is expected to be white, but it is yellow.
  In (13,56), the ground is expected to be white, but it is yellow.
  In (14,24), the ground is expected to be white, but it is yellow.
  In (14,25), the ground is expected to be white, but it is yellow.
  In (14,27), the ground is expected to be white, but it is yellow.
  In (14,29), the ground is expected to be white, but it is yellow.
  In (14,34), the ground is expected to be yellow, but it is white.
  In (14,35), the ground is expected to be white, but it is yellow.
  In (14,36), the ground is expected to be white, but it is yellow.
  In (14,37), the ground is expected to be yellow, but it is white.
  In (14,40), the ground is expected to be white, but it is yellow.
  In (14,43), the ground is expected to be white, but it is yellow.
  In (14,46), the ground is expected to be white, but it is yellow.
  In (14,48), the ground is expected to be yellow, but it is white.
  In (14,49), the ground is expected to be yellow, but it is white.
  In (14,50), the ground is expected to be white, but it is yellow.
  In (14,57), the ground is expected to be white, but it is yellow.
  In (14,60), the ground is expected to be yellow, but it is white.
  In (14,62), the ground is expected to be white, but it is yellow.
  In (15,23), the ground is expected to be white, but it is yellow.
  In (15,24), the ground is expected to be white, but it is yellow.
  In (15,26), the ground is expected to be white, but it is yellow.
  In (15,29), the ground is expected to be white, but it is yellow.
  In (15,30), the ground is expected to be white, but it is yellow.
  In (15,32), the ground is expected to be yellow, but it is white.
  In (15,33), the ground is expected to be yellow, but it is white.
  In (15,35), the ground is expected to be white, but it is yellow.
  In (15,36), the ground is expected to be white, but it is yellow.
  In (15,37), the ground is expected to be white, but it is yellow.
  In (15,41), the ground is expected to be yellow, but it is white.
  In (15,43), the ground is expected to be yellow, but it is white.
  In (15,45), the ground is expected to be yellow, but it is white.
  In (15,46), the ground is expected to be white, but it is yellow.
  In (15,52), the ground is expected to be white, but it is yellow.
  In (15,53), the ground is expected to be white, but it is yellow.
  In (15,55), the ground is expected to be yellow, but it is white.
  In (15,56), the ground is expected to be yellow, but it is white.
  In (15,58), the ground is expected to be yellow, but it is white.
  In (15,59), the ground is expected to be yellow, but it is white.
  In (15,60), the ground is expected to be white, but it is yellow.
  In (15,61), the ground is expected to be yellow, but it is white.
  In (16,22), the ground is expected to be white, but it is yellow.
  In (16,23), the ground is expected to be white, but it is yellow.
  In (16,25), the ground is expected to be white, but it is yellow.
  In (16,26), the ground is expected to be white, but it is yellow.
  In (16,28), the ground is expected to be white, but it is yellow.
  In (16,32), the ground is expected to be yellow, but it is white.
  In (16,33), the ground is expected to be yellow, but it is white.
  In (16,35), the ground is expected to be white, but it is yellow.
  In (16,37), the ground is expected to be white, but it is yellow.
  In (16,40), the ground is expected to be yellow, but it is white.
  In (16,41), the ground is expected to be yellow, but it is white.
  In (16,42), the ground is expected to be yellow, but it is white.
  In (16,43), the ground is expected to be yellow, but it is white.
  In (16,45), the ground is expected to be yellow, but it is white.
  In (16,47), the ground is expected to be yellow, but it is white.
  In (16,50), the ground is expected to be yellow, but it is white.
  In (16,51), the ground is expected to be white, but it is yellow.
  In (16,52), the ground is expected to be white, but it is yellow.
  In (16,54), the ground is expected to be white, but it is yellow.
  In (16,57), the ground is expected to be yellow, but it is white.
  In (16,58), the ground is expected to be white, but it is yellow.
  In (16,59), the ground is expected to be yellow, but it is white.
  In (16,60), the ground is expected to be yellow, but it is white.
  In (17,22), the ground is expected to be white, but it is yellow.
  In (17,24), the ground is expected to be white, but it is yellow.
  In (17,25), the ground is expected to be white, but it is yellow.
  In (17,27), the ground is expected to be white, but it is yellow.
  In (17,30), the ground is expected to be yellow, but it is white.
  In (17,31), the ground is expected to be yellow, but it is white.
  In (17,33), the ground is expected to be yellow, but it is white.
  In (17,36), the ground is expected to be yellow, but it is white.
  In (17,39), the ground is expected to be yellow, but it is white.
  In (17,41), the ground is expected to be yellow, but it is white.
  In (17,42), the ground is expected to be yellow, but it is white.
  In (17,45), the ground is expected to be yellow, but it is white.
  In (17,47), the ground is expected to be white, but it is yellow.
  In (17,48), the ground is expected to be yellow, but it is white.
  In (17,49), the ground is expected to be yellow, but it is white.
  In (17,51), the ground is expected to be white, but it is yellow.
  In (17,56), the ground is expected to be yellow, but it is white.
  In (17,57), the ground is expected to be white, but it is yellow.
  In (17,58), the ground is expected to be white, but it is yellow.
  In (17,60), the ground is expected to be white, but it is yellow.
  In (17,62), the ground is expected to be yellow, but it is white.
  In (17,67), the ground is expected to be white, but it is yellow.
  In (18,23), the ground is expected to be white, but it is yellow.
  In (18,24), the ground is expected to be yellow, but it is white.
  In (18,25), the ground is expected to be yellow, but it is white.
  In (18,28), the ground is expected to be white, but it is yellow.
  In (18,29), the ground is expected to be white, but it is yellow.
  In (18,30), the ground is expected to be yellow, but it is white.
  In (18,31), the ground is expected to be yellow, but it is white.
  In (18,33), the ground is expected to be yellow, but it is white.
  In (18,35), the ground is expected to be yellow, but it is white.
  In (18,39), the ground is expected to be yellow, but it is white.
  In (18,40), the ground is expected to be yellow, but it is white.
  In (18,41), the ground is expected to be yellow, but it is white.
  In (18,42), the ground is expected to be yellow, but it is white.
  In (18,44), the ground is expected to be yellow, but it is white.
  In (18,45), the ground is expected to be white, but it is yellow.
  In (18,46), the ground is expected to be white, but it is yellow.
  In (18,49), the ground is expected to be yellow, but it is white.
  In (18,51), the ground is expected to be white, but it is yellow.
  In (18,53), the ground is expected to be white, but it is yellow.
  In (18,55), the ground is expected to be yellow, but it is white.
  In (18,56), the ground is expected to be white, but it is yellow.
  In (18,61), the ground is expected to be yellow, but it is white.
  In (18,62), the ground is expected to be white, but it is yellow.
  In (18,63), the ground is expected to be white, but it is yellow.
  In (18,65), the ground is expected to be white, but it is yellow.
  In (18,66), the ground is expected to be white, but it is yellow.
  In (18,67), the ground is expected to be white, but it is yellow.
  In (19,22), the ground is expected to be yellow, but it is white.
  In (19,27), the ground is expected to be white, but it is yellow.
  In (19,30), the ground is expected to be yellow, but it is white.
  In (19,31), the ground is expected to be yellow, but it is white.
  In (19,32), the ground is expected to be yellow, but it is white.
  In (19,33), the ground is expected to be yellow, but it is white.
  In (19,35), the ground is expected to be yellow, but it is white.
  In (19,36), the ground is expected to be yellow, but it is white.
  In (19,39), the ground is expected to be yellow, but it is white.
  In (19,40), the ground is expected to be yellow, but it is white.
  In (19,41), the ground is expected to be yellow, but it is white.
  In (19,42), the ground is expected to be yellow, but it is white.
  In (19,43), the ground is expected to be yellow, but it is white.
  In (19,44), the ground is expected to be yellow, but it is white.
  In (19,45), the ground is expected to be yellow, but it is white.
  In (19,48), the ground is expected to be yellow, but it is white.
  In (19,49), the ground is expected to be white, but it is yellow.
  In (19,50), the ground is expected to be white, but it is yellow.
  In (19,51), the ground is expected to be white, but it is yellow.
  In (19,53), the ground is expected to be white, but it is yellow.
  In (19,55), the ground is expected to be yellow, but it is white.
  In (19,56), the ground is expected to be white, but it is yellow.
  In (19,57), the ground is expected to be yellow, but it is white.
  In (19,58), the ground is expected to be white, but it is yellow.
  In (19,61), the ground is expected to be yellow, but it is white.
  In (19,64), the ground is expected to be white, but it is yellow.
  In (19,65), the ground is expected to be white, but it is yellow.
  In (19,68), the ground is expected to be white, but it is yellow.
  In (19,69), the ground is expected to be white, but it is yellow.
  In (20,22), the ground is expected to be yellow, but it is white.
