The amount of steps is wrong: 200000 is not 0
  In (7,63), the ground is expected to be white, but it is cyan.
  In (7,64), the ground is expected to be white, but it is cyan.
  In (7,65), the ground is expected to be white, but it is green.
  In (7,66), the ground is expected to be white, but it is yellow.
  In (7,67), the ground is expected to be white, but it is cyan.
  In (7,68), the ground is expected to be white, but it is orange.
  In (7,69), the ground is expected to be white, but it is yellow.
  In (7,70), the ground is expected to be white, but it is grey.
  In (7,71), the ground is expected to be white, but it is green.
  In (7,72), the ground is expected to be white, but it is cyan.
  In (7,73), the ground is expected to be white, but it is yellow.
  In (7,74), the ground is expected to be white, but it is red.
  In (7,75), the ground is expected to be white, but it is red.
  In (7,76), the ground is expected to be white, but it is red.
  In (7,77), the ground is expected to be white, but it is red.
  In (8,24), the ground is expected to be white, but it is yellow.
  In (8,25), the ground is expected to be white, but it is blue.
  In (8,26), the ground is expected to be white, but it is magenta.
  In (8,27), the ground is expected to be white, but it is black.
  In (8,28), the ground is expected to be white, but it is yellow.
  In (8,29), the ground is expected to be white, but it is blue.
  In (8,30), the ground is expected to be white, but it is yellow.
  In (8,31), the ground is expected to be yellow, but it is white.
  In (8,32), the ground is expected to be yellow, but it is green.
  In (8,33), the ground is expected to be yellow, but it is green.
  In (8,34), the ground is expected to be white, but it is red.
  In (8,35), the ground is expected to be white, but it is grey.
  In (8,36), the ground is expected to be yellow, but it is cyan.
  In (8,37), the ground is expected to be yellow, but it is cyan.
  In (8,38), the ground is expected to be white, but it is blue.
  In (8,39), the ground is expected to be yellow, but it is green.
  In (8,40), the ground is expected to be white, but it is blue.
  In (8,41), the ground is expected to be yellow, but it is grey.
  In (8,42), the ground is expected to be white, but it is orange.
  In (8,43), the ground is expected to be white, but it is red.
  In (8,44), the ground is expected to be white, but it is red.
  In (8,45), the ground is expected to be yellow, but it is red.
  In (8,46), the ground is expected to be yellow, but it is white.
  In (8,47), the ground is expected to be yellow, but it is white.
  In (8,48), the ground is expected to be yellow, but it is white.
  In (8,49), the ground is expected to be yellow, but it is white.
  In (8,50), the ground is expected to be yellow, but it is white.
  In (8,52), the ground is expected to be yellow, but it is white.
  In (8,54), the ground is expected to be yellow, but it is white.
  In (8,55), the ground is expected to be yellow, but it is white.
  In (8,59), the ground is expected to be white, but it is yellow.
  In (8,60), the ground is expected to be white, but it is green.
  In (8,61), the ground is expected to be white, but it is black.
  In (8,62), the ground is expected to be white, but it is grey.
  In (8,63), the ground is expected to be white, but it is cyan.
  In (8,64), the ground is expected to be white, but it is blue.
  In (8,65), the ground is expected to be white, but it is grey.
  In (8,66), the ground is expected to be white, but it is blue.
  In (8,67), the ground is expected to be white, but it is cyan.
  In (8,71), the ground is expected to be white, but it is green.
  In (8,72), the ground is expected to be white, but it is cyan.
  In (8,73), the ground is expected to be white, but it is yellow.
