The amount of steps is wrong: 15000 is not 0
  In (3,43), the ground is expected to be white, but it is green.
  In (3,44), the ground is expected to be white, but it is green.
  In (3,45), the ground is expected to be white, but it is black.
  In (3,46), the ground is expected to be white, but it is green.
  In (3,47), the ground is expected to be white, but it is cyan.
  In (3,48), the ground is expected to be white, but it is red.
  In (3,49), the ground is expected to be yellow, but it is red.
  In (3,50), the ground is expected to be white, but it is red.
  In (3,51), the ground is expected to be yellow, but it is red.
  In (3,52), the ground is expected to be yellow, but it is red.
  In (3,53), the ground is expected to be white, but it is red.
  In (3,54), the ground is expected to be white, but it is cyan.
  In (3,55), the ground is expected to be white, but it is green.
  In (3,56), the ground is expected to be white, but it is black.
  In (3,57), the ground is expected to be white, but it is yellow.
  In (3,58), the ground is expected to be white, but it is yellow.
  In (3,59), the ground is expected to be white, but it is magenta.
  In (3,60), the ground is expected to be white, but it is orange.
  In (3,61), the ground is expected to be white, but it is red.
  In (3,62), the ground is expected to be white, but it is red.
  In (3,63), the ground is expected to be white, but it is red.
  In (3,64), the ground is expected to be white, but it is yellow.
  In (4,4), the ground is expected to be white, but it is yellow.
  In (4,5), the ground is expected to be white, but it is red.
  In (4,6), the ground is expected to be white, but it is red.
  In (4,7), the ground is expected to be white, but it is red.
  In (4,8), the ground is expected to be white, but it is red.
  In (4,9), the ground is expected to be white, but it is red.
  In (4,10), the ground is expected to be white, but it is red.
  In (4,11), the ground is expected to be white, but it is red.
  In (4,12), the ground is expected to be white, but it is red.
  In (4,13), the ground is expected to be white, but it is red.
  In (4,14), the ground is expected to be white, but it is red.
  In (4,15), the ground is expected to be white, but it is red.
  In (4,16), the ground is expected to be white, but it is red.
  In (4,17), the ground is expected to be white, but it is red.
  In (4,18), the ground is expected to be white, but it is red.
  In (4,19), the ground is expected to be white, but it is red.
  In (4,20), the ground is expected to be white, but it is red.
  In (4,21), the ground is expected to be white, but it is red.
  In (4,22), the ground is expected to be white, but it is red.
  In (4,23), the ground is expected to be white, but it is red.
  In (4,24), the ground is expected to be white, but it is red.
  In (4,25), the ground is expected to be white, but it is red.
  In (4,26), the ground is expected to be white, but it is cyan.
  In (4,27), the ground is expected to be white, but it is blue.
  In (4,28), the ground is expected to be white, but it is cyan.
  In (4,29), the ground is expected to be white, but it is dark grey.
  In (4,30), the ground is expected to be white, but it is grey.
  In (4,31), the ground is expected to be white, but it is red.
  In (4,33), the ground is expected to be white, but it is black.
