The amount of steps is wrong: 8342 is not 0
  In (13,35), the ground is expected to be yellow, but it is white.
  In (13,37), the ground is expected to be yellow, but it is white.
  In (13,41), the ground is expected to be yellow, but it is white.
  In (13,42), the ground is expected to be yellow, but it is white.
  In (13,43), the ground is expected to be yellow, but it is white.
  In (13,44), the ground is expected to be yellow, but it is white.
  In (13,45), the ground is expected to be yellow, but it is white.
  In (13,46), the ground is expected to be yellow, but it is white.
  In (13,47), the ground is expected to be yellow, but it is white.
  In (13,48), the ground is expected to be yellow, but it is white.
  In (13,52), the ground is expected to be white, but it is yellow.
  In (13,55), the ground is expected to be yellow, but it is white.
  In (13,57), the ground is expected to be yellow, but it is white.
  In (13,59), the ground is expected to be yellow, but it is white.
  In (13,60), the ground is expected to be yellow, but it is white.
  In (14,33), the ground is expected to be yellow, but it is white.
  In (14,34), the ground is expected to be yellow, but it is white.
  In (14,37), the ground is expected to be yellow, but it is white.
  In (14,39), the ground is expected to be yellow, but it is white.
  In (14,41), the ground is expected to be yellow, but it is white.
  In (14,42), the ground is expected to be yellow, but it is white.
  In (14,44), the ground is expected to be yellow, but it is white.
  In (14,45), the ground is expected to be yellow, but it is white.
  In (14,47), the ground is expected to be yellow, but it is white.
  In (14,48), the ground is expected to be yellow, but it is white.
  In (14,49), the ground is expected to be yellow, but it is white.
  In (14,54), the ground is expected to be yellow, but it is white.
  In (14,55), the ground is expected to be yellow, but it is white.
  In (14,58), the ground is expected to be yellow, but it is white.
  In (14,60), the ground is expected to be yellow, but it is white.
  In (14,61), the ground is expected to be yellow, but it is white.
  In (15,32), the ground is expected to be yellow, but it is white.
  In (15,33), the ground is expected to be yellow, but it is white.
  In (15,41), the ground is expected to be yellow, but it is white.
  In (15,43), the ground is expected to be yellow, but it is white.
  In (15,44), the ground is expected to be yellow, but it is white.
  In (15,45), the ground is expected to be yellow, but it is white.
  In (15,47), the ground is expected to be yellow, but it is white.
  In (15,49), the ground is expected to be yellow, but it is white.
  In (15,50), the ground is expected to be yellow, but it is white.
  In (15,51), the ground is expected to be yellow, but it is white.
  In (15,55), the ground is expected to be yellow, but it is white.
  In (15,56), the ground is expected to be yellow, but it is white.
  In (15,58), the ground is expected to be yellow, but it is white.
  In (15,59), the ground is expected to be yellow, but it is white.
  In (15,61), the ground is expected to be yellow, but it is white.
  In (15,62), the ground is expected to be yellow, but it is white.
  In (16,29), the ground is expected to be yellow, but it is white.
  In (16,32), the ground is expected to be yellow, but it is white.
  In (16,33), the ground is expected to be yellow, but it is white.
  In (16,38), the ground is expected to be yellow, but it is white.
  In (16,40), the ground is expected to be yellow, but it is white.
  In (16,41), the ground is expected to be yellow, but it is white.
  In (16,42), the ground is expected to be yellow, but it is white.
  In (16,43), the ground is expected to be yellow, but it is white.
  In (16,45), the ground is expected to be yellow, but it is white.
  In (16,46), the ground is expected to be yellow, but it is white.
  In (16,47), the ground is expected to be yellow, but it is white.
  In (16,50), the ground is expected to be yellow, but it is white.
  In (16,55), the ground is expected to be yellow, but it is white.
  In (16,57), the ground is expected to be yellow, but it is white.
  In (16,59), the ground is expected to be yellow, but it is white.
  In (16,60), the ground is expected to be yellow, but it is white.
  In (16,62), the ground is expected to be yellow, but it is white.
  In (17,29), the ground is expected to be yellow, but it is white.
  In (17,30), the ground is expected to be yellow, but it is white.
  In (17,31), the ground is expected to be yellow, but it is white.
  In (17,33), the ground is expected to be yellow, but it is white.
  In (17,36), the ground is expected to be yellow, but it is white.
  In (17,39), the ground is expected to be yellow, but it is white.
  In (17,41), the ground is expected to be yellow, but it is white.
  In (17,42), the ground is expected to be yellow, but it is white.
  In (17,45), the ground is expected to be yellow, but it is white.
  In (17,46), the ground is expected to be yellow, but it is white.
  In (17,48), the ground is expected to be yellow, but it is white.
  In (17,49), the ground is expected to be yellow, but it is white.
  In (17,50), the ground is expected to be yellow, but it is white.
  In (17,52), the ground is expected to be yellow, but it is white.
  In (17,55), the ground is expected to be yellow, but it is white.
  In (17,56), the ground is expected to be yellow, but it is white.
  In (17,61), the ground is expected to be yellow, but it is white.
  In (17,62), the ground is expected to be yellow, but it is white.
  In (18,22), the ground is expected to be yellow, but it is white.
  In (18,24), the ground is expected to be yellow, but it is white.
  In (18,25), the ground is expected to be yellow, but it is white.
  In (18,30), the ground is expected to be yellow, but it is white.
  In (18,31), the ground is expected to be yellow, but it is white.
  In (18,33), the ground is expected to be yellow, but it is white.
  In (18,35), the ground is expected to be yellow, but it is white.
