The amount of steps is wrong: 98000 is not 0
  In (6,69), the ground is expected to be white, but it is orange.
  In (6,71), the ground is expected to be white, but it is green.
  In (6,72), the ground is expected to be white, but it is red.
  In (6,73), the ground is expected to be white, but it is red.
  In (6,74), the ground is expected to be white, but it is yellow.
  In (7,32), the ground is expected to be yellow, but it is white.
  In (7,34), the ground is expected to be yellow, but it is white.
  In (7,38), the ground is expected to be white, but it is yellow.
  In (7,39), the ground is expected to be yellow, but it is cyan.
  In (7,40), the ground is expected to be yellow, but it is white.
  In (7,42), the ground is expected to be yellow, but it is white.
  In (7,44), the ground is expected to be white, but it is orange.
  In (7,45), the ground is expected to be yellow, but it is orange.
  In (7,46), the ground is expected to be white, but it is cyan.
  In (7,47), the ground is expected to be white, but it is yellow.
  In (7,48), the ground is expected to be yellow, but it is red.
  In (7,49), the ground is expected to be yellow, but it is white.
  In (7,50), the ground is expected to be yellow, but it is green.
  In (7,51), the ground is expected to be yellow, but it is red.
  In (7,53), the ground is expected to be yellow, but it is green.
  In (7,55), the ground is expected to be white, but it is red.
  In (7,56), the ground is expected to be white, but it is orange.
  In (7,57), the ground is expected to be white, but it is red.
  In (7,58), the ground is expected to be white, but it is red.
  In (7,59), the ground is expected to be white, but it is red.
  In (7,60), the ground is expected to be white, but it is orange.
  In (7,61), the ground is expected to be white, but it is orange.
  In (7,63), the ground is expected to be white, but it is orange.
  In (7,64), the ground is expected to be white, but it is red.
  In (7,67), the ground is expected to be white, but it is yellow.
  In (7,68), the ground is expected to be white, but it is cyan.
  In (7,69), the ground is expected to be white, but it is cyan.
  In (7,70), the ground is expected to be white, but it is orange.
  In (7,71), the ground is expected to be white, but it is green.
  In (7,72), the ground is expected to be white, but it is yellow.
  In (8,31), the ground is expected to be yellow, but it is white.
  In (8,32), the ground is expected to be yellow, but it is white.
  In (8,33), the ground is expected to be yellow, but it is white.
  In (8,36), the ground is expected to be yellow, but it is white.
  In (8,37), the ground is expected to be yellow, but it is white.
  In (8,40), the ground is expected to be white, but it is red.
  In (8,41), the ground is expected to be yellow, but it is white.
  In (8,42), the ground is expected to be white, but it is orange.
  In (8,43), the ground is expected to be white, but it is red.
  In (8,44), the ground is expected to be white, but it is green.
  In (8,45), the ground is expected to be yellow, but it is green.
  In (8,46), the ground is expected to be yellow, but it is orange.
  In (8,47), the ground is expected to be yellow, but it is white.
  In (8,48), the ground is expected to be yellow, but it is green.
  In (8,49), the ground is expected to be yellow, but it is white.
  In (8,50), the ground is expected to be yellow, but it is cyan.
  In (8,51), the ground is expected to be white, but it is cyan.
  In (8,52), the ground is expected to be yellow, but it is orange.
  In (8,53), the ground is expected to be white, but it is green.
  In (8,56), the ground is expected to be white, but it is green.
  In (8,57), the ground is expected to be white, but it is yellow.
  In (8,58), the ground is expected to be white, but it is yellow.
  In (8,59), the ground is expected to be white, but it is orange.
  In (8,60), the ground is expected to be white, but it is red.
  In (8,61), the ground is expected to be white, but it is yellow.
  In (8,63), the ground is expected to be white, but it is orange.
  In (8,64), the ground is expected to be white, but it is green.
  In (8,65), the ground is expected to be white, but it is cyan.
  In (8,66), the ground is expected to be white, but it is cyan.
  In (8,67), the ground is expected to be white, but it is red.
  In (8,68), the ground is expected to be white, but it is yellow.
  In (8,69), the ground is expected to be white, but it is yellow.
  In (8,70), the ground is expected to be white, but it is cyan.
  In (8,71), the ground is expected to be white, but it is cyan.
  In (8,72), the ground is expected to be white, but it is yellow.
  In (9,31), the ground is expected to be yellow, but it is white.
  In (9,32), the ground is expected to be yellow, but it is white.
  In (9,34), the ground is expected to be yellow, but it is white.
  In (9,37), the ground is expected to be yellow, but it is white.
